,id,text,relevance,support,emotion,screen_name,created_at,noramlized_text
1,7.03E+17,(Sunni) #Palestine celebrate arrival of (Shia) #Iran aid and request (Sunni) Arab countries to follow pursuit. pic.twitter.com/Bw52RwfOzw,1,-1,"{""document_tone"":{""tone_categories"":[{""tones"":[{""score"":0.00627,""tone_id"":""anger"",""tone_name"":""Anger""},{""score"":0.018762,""tone_id"":""disgust"",""tone_name"":""Disgust""},{""score"":0.040679,""tone_id"":""fear"",""tone_name"":""Fear""},{""score"":0.326855,""tone_id"":""joy"",""tone_name"":""Joy""},{""score"":0.042405,""tone_id"":""sadness"",""tone_name"":""Sadness""}],""category_id"":""emotion_tone"",""category_name"":""Emotion Tone""},{""tones"":[{""score"":0.0,""tone_id"":""analytical"",""tone_name"":""Analytical""},{""score"":0.0,""tone_id"":""confident"",""tone_name"":""Confident""},{""score"":0.0,""tone_id"":""tentative"",""tone_name"":""Tentative""}],""category_id"":""language_tone"",""category_name"":""Language Tone""},{""tones"":[{""score"":0.51146,""tone_id"":""openness_big5"",""tone_name"":""Openness""},{""score"":0.386924,""tone_id"":""conscientiousness_big5"",""tone_name"":""Conscientiousness""},{""score"":0.526593,""tone_id"":""extraversion_big5"",""tone_name"":""Extraversion""},{""score"":0.559396,""tone_id"":""agreeableness_big5"",""tone_name"":""Agreeableness""},{""score"":0.373239,""tone_id"":""emotional_range_big5"",""tone_name"":""Emotional Range""}],""category_id"":""social_tone"",""category_name"":""Social Tone""}]}}",batoolAzra,1456424691,(sunni) celebrate arrival of (shia) aid and request (sunni) arab countries to follow pursuit.
6,9.53E+17,Israel is now using Facebook posts to jail Palestinians https://news.vice.com/en_us/article/43qq89/israel-is-now-using-facebook-posts-to-jail-palestinians?utm_campaign=sharebuttonÃƒÂ¯__Ã¢â‚¬Â¹_ via @vicenews,1,-1,"{""document_tone"":{""tone_categories"":[{""tones"":[{""score"":0.132736,""tone_id"":""anger"",""tone_name"":""Anger""},{""score"":0.311316,""tone_id"":""disgust"",""tone_name"":""Disgust""},{""score"":0.33547,""tone_id"":""fear"",""tone_name"":""Fear""},{""score"":0.064644,""tone_id"":""joy"",""tone_name"":""Joy""},{""score"":0.273115,""tone_id"":""sadness"",""tone_name"":""Sadness""}],""category_id"":""emotion_tone"",""category_name"":""Emotion Tone""},{""tones"":[{""score"":0.687768,""tone_id"":""analytical"",""tone_name"":""Analytical""},{""score"":0.0,""tone_id"":""confident"",""tone_name"":""Confident""},{""score"":0.0,""tone_id"":""tentative"",""tone_name"":""Tentative""}],""category_id"":""language_tone"",""category_name"":""Language Tone""},{""tones"":[{""score"":0.117114,""tone_id"":""openness_big5"",""tone_name"":""Openness""},{""score"":0.488311,""tone_id"":""conscientiousness_big5"",""tone_name"":""Conscientiousness""},{""score"":0.612706,""tone_id"":""extraversion_big5"",""tone_name"":""Extraversion""},{""score"":0.686411,""tone_id"":""agreeableness_big5"",""tone_name"":""Agreeableness""},{""score"":0.886302,""tone_id"":""emotional_range_big5"",""tone_name"":""Emotional Range""}],""category_id"":""social_tone"",""category_name"":""Social Tone""}]}}",?,1516127847,israel is now using facebook posts to jail palestinians via
8,3.33E+17,Palestine Summer-Darkness Over Israel envisions #Anonymous #Occupy #SJP #ISM #BDS creating actions thru Summer. http://PalestineSummer.webs.comÃ‚Â¬Ã¢â‚¬Â ,1,-1,"{""document_tone"":{""tone_categories"":[{""tones"":[{""score"":0.051242,""tone_id"":""anger"",""tone_name"":""Anger""},{""score"":0.027039,""tone_id"":""disgust"",""tone_name"":""Disgust""},{""score"":0.169964,""tone_id"":""fear"",""tone_name"":""Fear""},{""score"":0.562058,""tone_id"":""joy"",""tone_name"":""Joy""},{""score"":0.235922,""tone_id"":""sadness"",""tone_name"":""Sadness""}],""category_id"":""emotion_tone"",""category_name"":""Emotion Tone""},{""tones"":[{""score"":0.0,""tone_id"":""analytical"",""tone_name"":""Analytical""},{""score"":0.0,""tone_id"":""confident"",""tone_name"":""Confident""},{""score"":0.0,""tone_id"":""tentative"",""tone_name"":""Tentative""}],""category_id"":""language_tone"",""category_name"":""Language Tone""},{""tones"":[{""score"":0.191755,""tone_id"":""openness_big5"",""tone_name"":""Openness""},{""score"":0.394465,""tone_id"":""conscientiousness_big5"",""tone_name"":""Conscientiousness""},{""score"":0.567292,""tone_id"":""extraversion_big5"",""tone_name"":""Extraversion""},{""score"":0.700278,""tone_id"":""agreeableness_big5"",""tone_name"":""Agreeableness""},{""score"":0.229653,""tone_id"":""emotional_range_big5"",""tone_name"":""Emotional Range""}],""category_id"":""social_tone"",""category_name"":""Social Tone""}]}}",PalestinaSummer,1368248589,palestine summer-darkness over israel envisions creating actions thru summer.
11,4.34E+17,Queer individuals in Palestine can't unite to organize coalition for themselves because of checkpoints. #UCRdivest,1,-1,"{""document_tone"":{""tone_categories"":[{""tones"":[{""score"":0.06815,""tone_id"":""anger"",""tone_name"":""Anger""},{""score"":0.124015,""tone_id"":""disgust"",""tone_name"":""Disgust""},{""score"":0.048057,""tone_id"":""fear"",""tone_name"":""Fear""},{""score"":0.17492,""tone_id"":""joy"",""tone_name"":""Joy""},{""score"":0.061261,""tone_id"":""sadness"",""tone_name"":""Sadness""}],""category_id"":""emotion_tone"",""category_name"":""Emotion Tone""},{""tones"":[{""score"":0.589295,""tone_id"":""analytical"",""tone_name"":""Analytical""},{""score"":0.0,""tone_id"":""confident"",""tone_name"":""Confident""},{""score"":0.0,""tone_id"":""tentative"",""tone_name"":""Tentative""}],""category_id"":""language_tone"",""category_name"":""Language Tone""},{""tones"":[{""score"":0.31783,""tone_id"":""openness_big5"",""tone_name"":""Openness""},{""score"":0.272387,""tone_id"":""conscientiousness_big5"",""tone_name"":""Conscientiousness""},{""score"":0.585606,""tone_id"":""extraversion_big5"",""tone_name"":""Extraversion""},{""score"":0.426039,""tone_id"":""agreeableness_big5"",""tone_name"":""Agreeableness""},{""score"":0.080493,""tone_id"":""emotional_range_big5"",""tone_name"":""Emotional Range""}],""category_id"":""social_tone"",""category_name"":""Social Tone""}]}}",SJP_UCR,1392268204,queer individuals in palestine can't unite to organize coalition for themselves because of checkpoints.
12,2.59E+17,NewsFeed: Israel warns it will keep ship out of Gaza waters - http://Jweekly.comÃ‚Â¬Ã¢â‚¬Â : Globe and M... http://go.ili.as/WFCbM5Ã‚Â¬Ã¢â‚¬Â  #Israel #Flotilla,1,0,"{""document_tone"":{""tone_categories"":[{""tones"":[{""score"":0.303945,""tone_id"":""anger"",""tone_name"":""Anger""},{""score"":0.199927,""tone_id"":""disgust"",""tone_name"":""Disgust""},{""score"":0.09953,""tone_id"":""fear"",""tone_name"":""Fear""},{""score"":0.158431,""tone_id"":""joy"",""tone_name"":""Joy""},{""score"":0.387235,""tone_id"":""sadness"",""tone_name"":""Sadness""}],""category_id"":""emotion_tone"",""category_name"":""Emotion Tone""},{""tones"":[{""score"":0.0,""tone_id"":""analytical"",""tone_name"":""Analytical""},{""score"":0.0,""tone_id"":""confident"",""tone_name"":""Confident""},{""score"":0.0,""tone_id"":""tentative"",""tone_name"":""Tentative""}],""category_id"":""language_tone"",""category_name"":""Language Tone""},{""tones"":[{""score"":0.602144,""tone_id"":""openness_big5"",""tone_name"":""Openness""},{""score"":0.483509,""tone_id"":""conscientiousness_big5"",""tone_name"":""Conscientiousness""},{""score"":0.731323,""tone_id"":""extraversion_big5"",""tone_name"":""Extraversion""},{""score"":0.769376,""tone_id"":""agreeableness_big5"",""tone_name"":""Agreeableness""},{""score"":0.31477,""tone_id"":""emotional_range_big5"",""tone_name"":""Emotional Range""}],""category_id"":""social_tone"",""category_name"":""Social Tone""}]}}",IsraelGaza,1350591064,newsfeed: israel warns it will keep ship out of gaza waters - : globe and m...
13,7.61E+17,The Middle East Conflict on Campus http://www.nytimes.com/2016/08/07/education/edlife/middle-east-conflict-on-campus-anti-semitism.htmlÃ‚Â¬Ã¢â‚¬Â Ã¢â‚¬Å¡Ãƒâ€žÃ‚Â¶. Nice article #SJP #voicesforpeace #Hillel #Palestine #Tufts #israel #university,1,-1,"{""document_tone"":{""tone_categories"":[{""tones"":[{""score"":0.101414,""tone_id"":""anger"",""tone_name"":""Anger""},{""score"":0.062575,""tone_id"":""disgust"",""tone_name"":""Disgust""},{""score"":0.046721,""tone_id"":""fear"",""tone_name"":""Fear""},{""score"":0.493188,""tone_id"":""joy"",""tone_name"":""Joy""},{""score"":0.20407,""tone_id"":""sadness"",""tone_name"":""Sadness""}],""category_id"":""emotion_tone"",""category_name"":""Emotion Tone""},{""tones"":[{""score"":0.0,""tone_id"":""analytical"",""tone_name"":""Analytical""},{""score"":0.0,""tone_id"":""confident"",""tone_name"":""Confident""},{""score"":0.91961,""tone_id"":""tentative"",""tone_name"":""Tentative""}],""category_id"":""language_tone"",""category_name"":""Language Tone""},{""tones"":[{""score"":0.440435,""tone_id"":""openness_big5"",""tone_name"":""Openness""},{""score"":0.22188,""tone_id"":""conscientiousness_big5"",""tone_name"":""Conscientiousness""},{""score"":0.706063,""tone_id"":""extraversion_big5"",""tone_name"":""Extraversion""},{""score"":0.533329,""tone_id"":""agreeableness_big5"",""tone_name"":""Agreeableness""},{""score"":0.608711,""tone_id"":""emotional_range_big5"",""tone_name"":""Emotional Range""}],""category_id"":""social_tone"",""category_name"":""Social Tone""}]}}",OpticalBuddy,1470278426,the middle east conflict on campus Ã¢â‚¬Å¡Ã£â€žÃ¢Â¶. nice
15,2.76E+17,Read @SAFEumich's blog for #SJP news from #UMich http://diagdissent.com/ÃƒÂ¥ÃƒÅ  #Palestine #BDS,1,0,"{""document_tone"":{""tone_categories"":[{""tones"":[{""score"":0.027771,""tone_id"":""anger"",""tone_name"":""Anger""},{""score"":0.067572,""tone_id"":""disgust"",""tone_name"":""Disgust""},{""score"":0.174554,""tone_id"":""fear"",""tone_name"":""Fear""},{""score"":0.555289,""tone_id"":""joy"",""tone_name"":""Joy""},{""score"":0.245238,""tone_id"":""sadness"",""tone_name"":""Sadness""}],""category_id"":""emotion_tone"",""category_name"":""Emotion Tone""},{""tones"":[{""score"":0.0,""tone_id"":""analytical"",""tone_name"":""Analytical""},{""score"":0.0,""tone_id"":""confident"",""tone_name"":""Confident""},{""score"":0.0,""tone_id"":""tentative"",""tone_name"":""Tentative""}],""category_id"":""language_tone"",""category_name"":""Language Tone""},{""tones"":[{""score"":0.516417,""tone_id"":""openness_big5"",""tone_name"":""Openness""},{""score"":0.313293,""tone_id"":""conscientiousness_big5"",""tone_name"":""Conscientiousness""},{""score"":0.502213,""tone_id"":""extraversion_big5"",""tone_name"":""Extraversion""},{""score"":0.67332,""tone_id"":""agreeableness_big5"",""tone_name"":""Agreeableness""},{""score"":0.498033,""tone_id"":""emotional_range_big5"",""tone_name"":""Emotional Range""}],""category_id"":""social_tone"",""category_name"":""Social Tone""}]}}",?,1354585628,read blog for news from
16,3.27E+17,"We won't let hatred & anger justify injustice. As Students for Justice in Palestine, we believe in justice, everywhere. #SJP",1,-1,"{""document_tone"":{""tone_categories"":[{""tones"":[{""score"":0.562574,""tone_id"":""anger"",""tone_name"":""Anger""},{""score"":0.435017,""tone_id"":""disgust"",""tone_name"":""Disgust""},{""score"":0.016339,""tone_id"":""fear"",""tone_name"":""Fear""},{""score"":0.031844,""tone_id"":""joy"",""tone_name"":""Joy""},{""score"":0.257058,""tone_id"":""sadness"",""tone_name"":""Sadness""}],""category_id"":""emotion_tone"",""category_name"":""Emotion Tone""},{""tones"":[{""score"":0.975863,""tone_id"":""analytical"",""tone_name"":""Analytical""},{""score"":0.0,""tone_id"":""confident"",""tone_name"":""Confident""},{""score"":0.0,""tone_id"":""tentative"",""tone_name"":""Tentative""}],""category_id"":""language_tone"",""category_name"":""Language Tone""},{""tones"":[{""score"":0.194414,""tone_id"":""openness_big5"",""tone_name"":""Openness""},{""score"":0.308385,""tone_id"":""conscientiousness_big5"",""tone_name"":""Conscientiousness""},{""score"":0.381087,""tone_id"":""extraversion_big5"",""tone_name"":""Extraversion""},{""score"":0.668035,""tone_id"":""agreeableness_big5"",""tone_name"":""Agreeableness""},{""score"":0.163886,""tone_id"":""emotional_range_big5"",""tone_name"":""Emotional Range""}],""category_id"":""social_tone"",""category_name"":""Social Tone""}]},""sentences_tone"":[{""sentence_id"":0,""text"":""we won't let hatred & anger justify injustice."",""input_from"":0,""input_to"":46,""tone_categories"":[{""tones"":[{""score"":0.619371,""tone_id"":""anger"",""tone_name"":""Anger""},{""score"":0.52696,""tone_id"":""disgust"",""tone_name"":""Disgust""},{""score"":0.022313,""tone_id"":""fear"",""tone_name"":""Fear""},{""score"":0.010746,""tone_id"":""joy"",""tone_name"":""Joy""},{""score"":0.089822,""tone_id"":""sadness"",""tone_name"":""Sadness""}],""category_id"":""emotion_tone"",""category_name"":""Emotion Tone""},{""tones"":[{""score"":0.94715,""tone_id"":""analytical"",""tone_name"":""Analytical""},{""score"":0.0,""tone_id"":""confident"",""tone_name"":""Confident""},{""score"":0.0,""tone_id"":""tentative"",""tone_name"":""Tentative""}],""category_id"":""language_tone"",""category_name"":""Language Tone""},{""tones"":[{""score"":0.309898,""tone_id"":""openness_big5"",""tone_name"":""Openness""},{""score"":0.273006,""tone_id"":""conscientiousness_big5"",""tone_name"":""Conscientiousness""},{""score"":0.467553,""tone_id"":""extraversion_big5"",""tone_name"":""Extraversion""},{""score"":0.568451,""tone_id"":""agreeableness_big5"",""tone_name"":""Agreeableness""},{""score"":0.179865,""tone_id"":""emotional_range_big5"",""tone_name"":""Emotional Range""}],""category_id"":""social_tone"",""category_name"":""Social Tone""}]},{""sentence_id"":1,""text"":""as students for justice in palestine, we believe in justice, everywhere."",""input_from"":47,""input_to"":119,""tone_categories"":[{""tones"":[{""score"":0.211088,""tone_id"":""anger"",""tone_name"":""Anger""},{""score"":0.177438,""tone_id"":""disgust"",""tone_name"":""Disgust""},{""score"":0.033739,""tone_id"":""fear"",""tone_name"":""Fear""},{""score"":0.251649,""tone_id"":""joy"",""tone_name"":""Joy""},{""score"":0.461667,""tone_id"":""sadness"",""tone_name"":""Sadness""}],""category_id"":""emotion_tone"",""category_name"":""Emotion Tone""},{""tones"":[{""score"":0.8152,""tone_id"":""analytical"",""tone_name"":""Analytical""},{""score"":0.0,""tone_id"":""confident"",""tone_name"":""Confident""},{""score"":0.0,""tone_id"":""tentative"",""tone_name"":""Tentative""}],""category_id"":""language_tone"",""category_name"":""Language Tone""},{""tones"":[{""score"":0.226278,""tone_id"":""openness_big5"",""tone_name"":""Openness""},{""score"":0.480117,""tone_id"":""conscientiousness_big5"",""tone_name"":""Conscientiousness""},{""score"":0.606287,""tone_id"":""extraversion_big5"",""tone_name"":""Extraversion""},{""score"":0.722133,""tone_id"":""agreeableness_big5"",""tone_name"":""Agreeableness""},{""score"":0.383865,""tone_id"":""emotional_range_big5"",""tone_name"":""Emotional Range""}],""category_id"":""social_tone"",""category_name"":""Social Tone""}]}]}",RutgersSJP,1366680176,"we won't let hatred & anger justify injustice. as students for justice in palestine, we believe in justice, everywhere."
17,3.24E+17,Roger Waters On Israel Boycott: 'I Am Considering My Position' (VIDEO) - Huffington Post http://dlvr.it/3F8c7bÃƒÆ’Ã…â€™ÃƒÆ’Ã‚Â¢ÃƒÆ’Ã‚Â¥ÃƒÆ’Ã…Â ,1,0,"{""document_tone"":{""tone_categories"":[{""tones"":[{""score"":0.165516,""tone_id"":""anger"",""tone_name"":""Anger""},{""score"":0.482573,""tone_id"":""disgust"",""tone_name"":""Disgust""},{""score"":0.059534,""tone_id"":""fear"",""tone_name"":""Fear""},{""score"":0.050465,""tone_id"":""joy"",""tone_name"":""Joy""},{""score"":0.109176,""tone_id"":""sadness"",""tone_name"":""Sadness""}],""category_id"":""emotion_tone"",""category_name"":""Emotion Tone""},{""tones"":[{""score"":0.589295,""tone_id"":""analytical"",""tone_name"":""Analytical""},{""score"":0.0,""tone_id"":""confident"",""tone_name"":""Confident""},{""score"":0.0,""tone_id"":""tentative"",""tone_name"":""Tentative""}],""category_id"":""language_tone"",""category_name"":""Language Tone""},{""tones"":[{""score"":0.570749,""tone_id"":""openness_big5"",""tone_name"":""Openness""},{""score"":0.365637,""tone_id"":""conscientiousness_big5"",""tone_name"":""Conscientiousness""},{""score"":0.572281,""tone_id"":""extraversion_big5"",""tone_name"":""Extraversion""},{""score"":0.739468,""tone_id"":""agreeableness_big5"",""tone_name"":""Agreeableness""},{""score"":0.164419,""tone_id"":""emotional_range_big5"",""tone_name"":""Emotional Range""}],""category_id"":""social_tone"",""category_name"":""Social Tone""}]}}",Palestinereport,1366142688,roger waters on israel boycott: 'i am considering my position' (video) - huffington post
19,4.87E+17,DEFINING PALESTINE & PALESTINIANS http://www.discoverthenetworks.org/viewSubCategory.asp?id=46Ã‚Â¬Ã¢â‚¬Â Ã¢â‚¬Å¡Ãƒâ€žÃ‚Â¶ #History #Education #Politics #Gaza #Israel #Palestine #Religion #Border #Obama,1,0,"{""document_tone"":{""tone_categories"":[{""tones"":[{""score"":0.036416,""tone_id"":""anger"",""tone_name"":""Anger""},{""score"":0.055568,""tone_id"":""disgust"",""tone_name"":""Disgust""},{""score"":0.056681,""tone_id"":""fear"",""tone_name"":""Fear""},{""score"":0.20147,""tone_id"":""joy"",""tone_name"":""Joy""},{""score"":0.103576,""tone_id"":""sadness"",""tone_name"":""Sadness""}],""category_id"":""emotion_tone"",""category_name"":""Emotion Tone""},{""tones"":[{""score"":0.991736,""tone_id"":""analytical"",""tone_name"":""Analytical""},{""score"":0.0,""tone_id"":""confident"",""tone_name"":""Confident""},{""score"":0.0,""tone_id"":""tentative"",""tone_name"":""Tentative""}],""category_id"":""language_tone"",""category_name"":""Language Tone""},{""tones"":[{""score"":0.280992,""tone_id"":""openness_big5"",""tone_name"":""Openness""},{""score"":0.274438,""tone_id"":""conscientiousness_big5"",""tone_name"":""Conscientiousness""},{""score"":0.543361,""tone_id"":""extraversion_big5"",""tone_name"":""Extraversion""},{""score"":0.599477,""tone_id"":""agreeableness_big5"",""tone_name"":""Agreeableness""},{""score"":0.296001,""tone_id"":""emotional_range_big5"",""tone_name"":""Emotional Range""}],""category_id"":""social_tone"",""category_name"":""Social Tone""}]}}",PatJohnson_5,1404925860,defining palestine & palestinians Ã¢â‚¬Å¡Ã£â€žÃ¢Â¶
