event_name,start_date,end_date,event_type,description
terror events 24 Jan 2008,24/01/2008,24/01/2008,terror_event,"Stabbing attack Kfar Etzion 2008 - 2 terrorists invade the village, stabbing 3 students. In another incident - shooting attack Shuafat - terrorist shot to death a police officer and injure another."
Winograd Commission serves its report,30/01/2008,30/01/2008,diplomat activity,
Shooting attack  at Israel embassy in RŽpublique islamique de Mauritanie.,01/02/2008,01/02/2008,terror_event,By el Queda. 6 injured.
Dimona suicide bomber ,04/02/2008,04/02/2008,terror_event,"1 elder dead, 9 injured."
Apartheid Week,04/02/2008,09/02/2008,propaganda,
Rockets Feb 2008,27/02/2008,27/02/2008,escalation,"46 rockets fired from gaza to Israel to the Negev, Ashkelon, Sderot and villages. 1 Israeli student killed"
Mercaz HaRav massacre,06/03/2008,06/03/2008,terror_event,"The Mercaz HaRav massacre, also called the Mercaz HaRav shooting, was a mass shooting attack that occurred on 6 March 2008, in which a lone Palestinian gunman shot multiple students at the Mercaz HaRav yeshiva, a religious school in Jerusalem, Israel, after which the gunman himself was shot dead. Eight students and the perpetrator were killed. Eleven more were wounded, five of them placed in serious to critical condition"
Terror attack Kerem Shalom Apr 2008,19/04/2008,19/04/2008,terror_event,3 suicide bombers explode in Kerem Shalom. Several soldiers injured.
Nir Oz rocket attack,06/06/2008,06/06/2008,terror_event,"Rockets from gaza ro Nir Oz village. 1 citizen dead, 4 more injured."
Tractor-ramming attack July 2017,02/07/2008,02/07/2008,terror_event,"3 deads, 36 pedestrians injured."
The prisoners exchange deal,16/07/2008,16/07/2008,diplomat activity,Eldad Regev and Ehud Goldwasser in exchange to some prisoners and the terrorist Samir Kuntar
Voluntary prisoners release ,26/08/2008,26/08/2008,peace_talks,Israel 199 prisoners as an action of good faith 
Vehicle-ramming attack Sep 2017,22/09/2008,22/09/2008,terror_event,19 soldiers of the Artillery Corps injured. Location: the IDF square in Jerusalem
Gaza War-Oferet Yezuka,27/12/2008,18/01/2009,war,
Apartheid Week,01/03/2009,08/03/2009,propaganda,
Tractor-ramming attack March 2009,05/03/2009,05/03/2009,terror_event,Jerusalem. 2 poluce officers wounded.
2009 Sudan airstrikes,26/03/2009,26/03/2009,operation,"(Media publish date) :In January and February 2009, there was a series ofÊtwo air strikes inÊSudanÊand one in theÊRed Sea, allegedly conducted byÊIsraelagainstÊIranianÊarms being smuggled to theÊGaza StripÊthrough Sudan.[1][2]ÊThe Israeli government hinted that Israeli forces were involved in the incident."
Bat Ayin terror attack,02/04/2009,02/04/2009,terror_event,A palestinian murder 13 years old boy using an axe. Another 7 years old boy is wounded.
Pope visit,10/05/2009,11/05/2009,diplomat activity,Benedictus XVI visit Israel and Palestine
Netanyahu Bar Ilan speech,14/06/2009,14/06/2009,diplomat activity,First declare agreement to Palestine state.
Karni crossing attack,16/06/2009,16/06/2009,terror_event,"10 terrorists of el Queda try to kill IDF soldiers in Karni crossing. 4 terrorists die, no casualties to IDF."
Maccabiah Games 2009,12/07/2009,24/07/2009,entertainment,
Netanyahu Iran speech at UN,24/09/2009,24/09/2009,UN_event,
Priosoners release Oct 2009,02/10/2009,02/10/2009,diplomat activity,"In exchange to video tape proving Gilad Shalit is alive, including Gilat Shalit video type broadcast."
FrancopÊAffair,04/11/2009,04/11/2009,operation,"The Francop Affair was a high seas incident on November 4, 2009 in which the Israeli Navy seized the cargo ship MV Francop in the eastern Mediterranean Sea and its cargo of hundreds of tons of weapons allegedly bound from Iran to Hezbollah. The incident is also known by its military operation name, Operation Four Species."
Settlements constraction freeze aggreement,25/11/2009,25/11/2009,diplomat activity,10 months agreement about freezing any further constractions in the west bank and east Jerusalem.
Ada Yonath wins the Nobel price in Chemistry,10/12/2009,10/12/2009,other,
al-Mabhouh kill in Dubai,19/01/2010,19/01/2010,operation,Mosad was blamed.
Apartheid Week,01/03/2010,06/03/2010,propaganda,
Gaza flotilla raid,31/05/2010,31/05/2010,Affair,
Hebron terror attack,31/08/2010,31/08/2010,terror_event,4 Israeli citizens killed.
Peace talks Washington 2010,05/09/2010,05/09/2010,peace_talks,
End of settlements agreement,26/09/2010,26/09/2010,diplomat activity,The end of the 10 month agreement regards the settlements constractions.
US veto on settlements,19/02/2011,19/02/2011,UN_event,US veto the vote for condemning Israel settlements.
Apartheid Week,27/02/2011,06/03/2011,propaganda,
Itamar terror attack,11/03/2011,11/03/2011,terror_event,A family from Itamar is stabbed to death by 2 terrorists.
Victoria Affair (operation Iron Law),15/03/2011,15/03/2011,operation,"Operation Iron Law. a military operation conducted by the Israel Defense Forces (IDF) in March 2011 in which the Israeli Navy intercepted the vessel Victoria on the international waters in the Mediterranean, and discovered concealed weapons which, according to the IDF, were destined for Palestinian militant organizations in the Gaza Strip."
Bus attack 23 March 2011,23/03/2011,23/03/2011,terror_event,"1 british tourist dead, 29 injured."
First Iron Dome operational launch,07/04/2011,07/04/2011,operation,A rocket from gaza was intercepted.
Anti missle attack on a bus,07/04/2011,07/04/2011,terror_event,A ATM fired from gaza hit a bus in Israel.
Justin Bieber in Israel 2011,14/04/2011,14/04/2011,entertainment,
Joseph's Tomb shooting,24/04/2011,24/04/2011,terror_event,15 relgious jews were attacked in Joseph's Tomb by the palestinian police
Nakba 2011 Vehicle-ramming attack,15/05/2011,15/05/2011,terror_event,"In Hatikva neighborhood in Tel Aviv. 1 citizen killed, several injured."
Naksa Day 2011,05/06/2011,05/06/2011,terror_event,"Soldiers fire at citizens who broke the border fence from Syria. 20 dead, 325 injured."
