screen_name,User Name
"rogerwaters	",Roger Waters
GiGiHadid,Gigi Hadid
PenelopeCruz1,Penelope Cruz
MBEthiopia,Muslim Brotherhood
ikhwan,Muslim Brotherhood
Ikhwanweb,Ikhwanweb
viva_palestina,Viva Palestina
mac_sphr,McMaster SPHR
IdentityEvropa,IDENTITY EVROPA
daoudkuttab,Daoud Kuttab
Ahmad_tibi,Ahmad Tibi
haneenzoabii,Haneen Zoabi
Eye_onPalestine,Eye On Palestine
ThisIsGaZa,Great Return March
palinfoen,Palestine Info Center
Farah_Gazan,Farah Baker
Rushdibbc,Rushdi Abualouf
gazamom,Laila El-Haddad
Abdalhadihadi,Dr. Abdalhadi Alijla
