screen_name,User Name
ADL_News,ADL News
AggieRabbi,Rabbi Yossi Lazaroff 
AlanDersh,Alan Dershowitz
AmbDaniDayan,Dani Dayan
AmbDermer,Amb. Ron Dermer
AmbMeronReuben,Meron Reuben
amitsegal22,Amit Segal
ariyederi,Ariye Deri
AusAmbIsrael,Chris Cannan
AvichayAdraee,
AvigdorLiberman,_______ ______
AviMayer,Avi Mayer
AvitalLeibovich,Avital Leibovich
AvivEzra,Aviv Ezra
Ayelet__Shaked,Ayelet Shaked
barak_ehud,____ ___
BradHirschfield,Brad Hirschfield
CoffeeShopRabbi,Rabbi Ruth Adar
DanielBShapiro,Dan Shapiro
DannyAyalon,Danny Ayalon
dannydanon,Ambassador DanonVerified account
DjSchneeweiss,dj schneeweiss
DrMichaelOren,Michael Oren
EmmanuelNahshon,Emmanuel Nahshon
FDIonline,FDI
FIDFYLNY,FIDF YL-NY
FinanceIsrael,Ministry of Finance
GalGadot,Gal Gadot
GalitPeleg,Galit Peleg
gidonsaar,Gidon Saar
giladerdan1,Gilad Erdan
HagayBehar,Hagay Behar
IAFsite,Israeli Air Force
idfonline,IDF online
IDFSpokesperson,Israel Defense Forces
Isaac_Herzog,Isaac Herzog
Israel,Israel
ISRAEL21C,ISRAEL21C
IsraelArgentina,Israel en Argentina
IsraelBreaking,Israel Breaking
IsraelForYou,IsraelNews&Views
IsraelHatzolah,Israel News Feed
israelhoughton,israelhoughton
IsraelinAustria,Israel in Austria
IsraelinCanada,Embassy of Israel
IsraelinEU,Israel in the EU
IsraelinGermany,Botschaft Israel
IsraelinGreece,Israel in Greece
IsraelinNewYork,Israel in New York
IsraelinPhilly,IsraelinPhilly
IsraelinSF,Israel in SF
IsraelinUK,Israel in the UK
IsraelinUSA,Embassy of Israel
IsraeliPM,PM of Israel
IsraelIstanbul,Israel in Istanbul
israelnewbreed,israelnewbreed
IsraelNewsNow,Israel News
IsraelNitzan,Israel Nitzan
israelpolice,Israel Police
jennajameson,Jenna Jameson
JewishAgency,The Jewish Agency for Israel
JMOlitzky,(((Jesse Olitzky)))
Joan_Rivers,Joan Rivers
JOLNews,JerusalemOnline
JoshBlockDC,Josh Block
JTAnews,JTA | Jewish news
Jyuter,Rabbi Josh Yuter
KahlonMoshe,Moshe Kahlon
LeviYonit,Yonit Levi
LTCJonathan,Jonathan Conricus
LTCPeterLerner,LTC (R) Peter Lerner
MarkRegev,Mark Regev
missmayim,Mayim Bialik
naftalibennett,Naftali Bennett ___
netanyahu,Benjamin Netanyahu
NoCamels,NoCamels - Israeli Tech and Innovation News
OpallRome,Barbara Opall-Rome
PikudHaoref1,_____ _____
PresidentPeres,Shimon Peres
PresidentRuvi,Reuven Rivlin
Rabbi_Sykes, (((Rabbi_L_Sykes)))
RabbiAFriedman,Rabbi Abe Friedman
rabbidkraus,Daniel Kraus
RabbiEckstein,Rabbi Eckstein
RabbiJason,Rabbi Jason Miller
RabbiJLobel,Rabbi Joshua Lobel
rabbilaufer,Rabbi Sari Laufer
RabbiMat,Rabbi Matt Gewirtz
rabbisacks,Rabbi Sacks
RabbisAgstGunV,RabbisAgstGunViol
RabbiShaiSpecht,Rabbi Shai
RabbiSuskin,Rabbi Alana Suskin
RabbiWolpe,David Wolpe
RabbiYonah,Rabbi Yonah
RavDK,David Kaufman
rebsteve,Rabbi Steven Wernick
regev_miri,Miri Regev
religion_state,Religion and State
RepSteveIsrael,Steve Israel
RobFestenstein,Rob Festenstein
SarahKSilverman,Sarah Silverman
Syechimovich,Shelly Yechimovich
terrorisminfo,Terrorism-info
TimesofIsrael,The Times of Israel
Torahtech613,Rabbi David Etengoff
Tsahal_IDF,Tsahal
Tsahal_Rus,IDF Russia
Tzipi_Livni,Tzipi Livni
USAmbIsrael,David M. Friedman
usegal,Udi Segal
womenrabbis,Women's Rabbinic Net
yadvashem,Yad Vashem
yairlapid,Yair Lapid
YuliEdelstein,Yuli Edelstein
Yuval_Rotem,Yuval Rotem
haivri,David Ha'ivri
Daroff,William Daroff
JeffreyGoldberg,Jeffrey Goldberg
RabbiJason,Rabbi Jason Miller
BarakRavid,Barak Ravid
EstherK,EstherK
michaeldickson,Michael Dickson
davidhorovitz,David Horovitz
Ostrov_A,Arsen Ostrovsky
LahavHarkov,Lahav Harkov
Yair_Rosenberg,(((Yair Rosenberg)))
AdamMilstein,Adam Milstein
PeterBeinart,Peter Beinart
KhaledAbuToameh,Khaled Abu Toameh
