Screen Name,User Name
@Columbia,Columbia UniversityVerified accountÂ 
@Yale,Yale UniversityVerified accountÂ 
@Stanford,Stanford University
@MIT,Massachusetts Institute of Technology (MIT)Verified accountÂ 
@Harvard,Harvard UniversityVerified accountÂ 
@Princeton,Princeton UniversityVerified accountÂ 
@Cornell,Cornell University
@Princeton,Princeton University
@Caltech,Caltech
@PittTweet,University of Pittsburgh
@Penn,PennVerified account
@DukeU,Duke UniversityVerified account
@BrownUniversity,Brown University
@pomonacollege,Pomona College
@Vassar,Vassar College
@UChicago,UChicago
@nyuniversity,New York University
@GeorgeMasonU,George Mason University
@LoyolaChicago,Loyola Chicago
@Portland_State,Portland State
@SFSU,SF State
@CalStateLA,Cal State LA
@TempleUniv,Temple University
@binghamtonu,BinghamtonUniversity
@UHouston,University of Houston
@UW,U. of WashingtonVerified account
@EvergreenStCol,Evergreen
@Portland_State,Portland State
@OregonState,Oregon State University
@UUtah,University of Utah
@CUSystem,Univ. of Colorado
@ColoradoCollege,Colorado College
@sacstate,Sacramento State
@ucdavis,UC Davis
@UCBerkeley,UC Berkeley
@SantaClaraUniv,Santa Clara Univ
@SJSU,San Jose State
@ucsc,UC Santa Cruz
@ucmerced,UC Merced
@CalPoly,Cal Poly
@ucsantabarbara,UC Santa Barbara
@csunorthridge,Cal State Northridge
@USC,USC
@CSULB,CSULB
@WhittierCollege,Whittier College
@csuf,Cal State FullertonVerified account
@UCIrvine,UC Irvine
@CMCnews,Claremont McKenna
@UCRiverside,UC Riverside
@UCSanDiego,UC San Diego
@ASU,AZ State University
@UofA,Univ. of Arizona
@UNM,Univ. of New Mexico
@UTSA,UTSA
@UTAustin,UT Austin
@UT_Dallas,UT Dallas
@UofOklahoma,Univ. of Oklahoma
@lsu,LSU
@UofNO,U. of New Orleans
@VanderbiltU,VanderbiltU
@UABNews,UAB
@UTKnoxville,UT Knoxville
@OglethorpeUniv,Oglethorpe U
@universityofga,UGA
@UofSC,University of South Carolina
@NCState,NC State University
@virginia_tech,Virginia Tech
@UVA,UVA
@WestVirginiaU,WVU Mountaineers
@floridastate,Florida State University
@UofNorthFlorida,Univ.ofNorthFlorida
@UCF,UCF
@USouthFlorida,USF
@FloridaAtlantic,Florida Atlantic
@FIU,FIU
@KUnews,University of KansasVerified account
@UNOmaha,UNO
@DrakeUniversity,Drake University
@UMNews,University of Minnesota
@LawrenceUni,Lawrence University
@UWMadison,UW-Madison
@UWM,UW-Milwaukee
@NorthwesternU,Northwestern
@thisisUIC,this is UIC
@LewisUniversity,Lewis University
@IllinoisStateU,Illinois State
@Illinois_Alma,Univ. of Illinois
@WUSTL,Washington University in St. Louis
@uofl,University of Louisville
@universityofky,University of Kentucky
@OhioState,Ohio State
@CLE_State,Cleveland State
@michiganstateu,MSU
@JohnsHopkins,Johns Hopkins U.
@UDelaware,Univ. of DelawareVerified account
@DrewUniversity,Drew University
@HofstraU,Hofstra University
@ClarkUniversity,Clark University
@WWCCWarriors,WWCC
@SantaBarbaraCC,SB City College
@LakeAreaTech,LakeAreaTech
@NMMI,NMMI
@NCKTC,NCK Tech College
@valenciacollege,Valencia College
@SnowCollege,Snow College
@StPaulCollege,Saint Paul College
@maylandcc,Mayland CC
@NWICC,NCC
@SCCNeb,SCCNeb
@vvcedu,VVC
@deanza_college,De Anza College
@MarionMilitary,Marion Military Inst
@KCCBrooklyn,Kingsborough CC
@myniacc,NIACC
@NACCMustangs,NACC Mustangs
@ColoMtnCollege,Colorado Mtn College
@MitchellTech,Mitchell Tech
@itascacc,Itasca CC
@WKCTC,WKCTC
@RendLakeCollege,Rend Lake College
@PRCC_Wildcats,PRCC Wildcats
@BCgators,Brazosport College
@PierceCollegeCA,Pierce College
@GCCCBroncbuster,GardenCityCC
@IndependenceCC,Independence CC
@CoconinoCC,Coconino CC
@KctcsSoutheast,Southeast
@MoorparkC_AS,Moorpark College AS
@ccdawgs,Clarendon College
@coto4me,College...Ouachitas
@Foothillnews,Foothill College
@NEiowaCC,Northeast Iowa CC
@CVTC,CVTC
@SWTJC,SWTJC
@MottCollege,Mott College
@WCCC_Maine,WCCC
@NorthlandCTC,NorthlandCTC
@normandale_cc,Normandale College
@schoolcraftnow,Schoolcraft College
@HudsonCCC,HCCC
@mcc_edu,MCC
@MercerCollege,Mercer College
@VC_Texas,Victoria College
@GoJeffco,Jefferson College
@tulsacc,TCC
@MassBayCommCol,MassBay Community College
@BowdoinCollege,Bowdoin College
@DePaulU,DePaul University
@earlham1847,Earlham College
@MarquetteU,Marquette University
@Northeastern,Northeastern U.
@UCLA,UCLA
@UMich,University of Michigan
@UToledo,The University of Toledo
@GWtweets,GW University
@Georgetown,Georgetown Univ.
@GVSU,Grand Valley State
@montclairstateu,Montclair State U
@oberlincollege,Oberlin College
@pitzercollege,Pitzer College
@Rutgers_Newark,Rutgers-Newark
@scrippscollege,Scripps College
@GC_CUNY,The Graduate Center
@TuftsUniversity,Tufts University
@uindy,Univ of Indianapolis
@UofMaryland,Univ. of Maryland
@UMassAmhers,UMass Amherst
@UMassBoston,UMass Boston
@UM_Dearborn,UM-Dearborn
@uwplatteville,UW-Platteville
@wesleyan_u,Wesleyan University
@dartmouth,Dartmouth
@EmoryUniversity,Emory University
@wlunews,Washington and Lee
@colgateuniv,Colgate University
@NotreDame,Notre Dame
@RiceUNews,Rice University News
@swarthmore,Swarthmore College
@NavalAcademy,U.S. Naval Academy
@haverfordedu,Haverford College
@DavidsonCollege,Davidson College
@BatesCollege,Bates College
@CarletonCollege,Carleton College
@Middlebury,Middlebury College
@BostonCollege,Boston College
@BarnardCollege,Barnard College
@BucknellU,Bucknell University
@LafCol,Lafayette College
@GrinnellCollege,Grinnell College
@williamandmary,William & Mary
@WakeForest,Wake Forest University
@ColbyCollege,Colby College
@cooperunion,Cooper Union
Kenyon College,@KenyonCollege
@HamiltonCollege,Hamilton College
@LehighU,Lehigh University
@UNC,UNC-Chapel Hil
@Reed_College_,Reed College
@smithcollege,Smith College Tweets
@VillanovaU,Villanova University
@babson,Babson College
@YUNews,Yeshiva University
@Occidental,Occidental College
@whitmancollege,Whitman College
@GeorgiaTech,Georgia Tech
@urichmond,University of Richmond
@trinitycollege,Trinity College
@UofR,Univ. of Rochester
@BU_Tweets,Boston University
@holy_cross,Holy Cross
@Trinity_U,Trinity University
@FandMCollege,Franklin & Marshall
@SkidmoreCollege,Skidmore College
@BrynMawrCollege,Bryn Mawr College
@FurmanU,Furman University
@univmiami,University of Miami
@SMU,SMU
@BrandeisU,Brandeis University
@Macalester,Macalester College
@StOlaf,St. Olaf College
@risd,RISD
@WPI,WPI
@ConnCollege,Connecticut College
@cwru,Case Western Reserve
@RhodesCollege,Rhodes College
@WheatonCollege,Wheaton College
@UnionCollegeNY,Union College
@NewCollegeofFL,New College of FL
@BYU,BYU
@TAMU,Texas A&M University
@RoseHulman,Rose-Hulman
@DePauwU,DePauw University
@DickinsonCol,Dickinson College
@bentleyu,Bentley University
@DenisonU,Denison University
@rpi,Rensselaer
@coschoolofmines,CO School of Mines
@TulaneNews,Tulane University
@UConn,UConn
@JMU,JMU
@mtholyoke,Mount Holyoke College
@AmericanU,American University
@woffordcollege,Wofford College
@FordhamNYC,Fordham University
@ClemsonUniv,Clemson University
@univofthesouth,Univ of the South
@LoyolaMarymount,Loyola Marymount University
@UofDenver,University of Denver
@gettysburg,Gettysburg College
@willamette_u,Willamette Univ.
@kcollege,Kalamazoo College
@penn_state,Penn State
@LifeAtPurdue,Purdue University
@SyracuseU,Syracuse University
@LoyolaMaryland,Loyola University MD
@lewisandclark,lewisandclark
