screen_name,User Name
GWUSJP,SJP at GWU
Addameer,Addameer
afsc_org,AFSC
AlAwda,Al-Awda NY
alhaq_org,Al-Haq
AlMezanCenter,Al Mezan Center
AlShabaka,Al-Shabaka
AMPalestine,AMP
answercoalition,ANSWER Coalition
apartheidweek,IsraeliApartheidWeek
AROCBayArea,AROC
BADIL_Center,BADIL
BadilInfo,Badil News
BDSKampagne,BDS-Kampagne
BDSmovement,BDS Movement
BDSOhioState,BDS at Ohio State
BinghamtonSJP,Binghamton SJP
BostonUSJP,BU SJP
BrownSJP,Brown SJP
btselem,btselem
BtSIsrael,Breaking the Silence
CAIR_Columbus,CAIR-Columbus
CAIR_GA,CAIR Georgia
CAIRAZ,CAIR-AZ
cairchicago,CAIR-Chicago
CAIRDFW,CAIR-DFW
CAIRHouston,CAIR TEXAS-Houston
CAIRMass,CAIR-Massachusetts
CAIRMN,CAIR MN
CAIRNational,CAIR National
CAIRNewYork,CAIR New York
CAIRNJ,CAIR New Jersey
cairoklahoma,CAIR Oklahoma
CAIRSFBA,CAIR-SFBA
codepink,CODEPINK
contactujfp,UJFP
DCIPalestine,Defense for Children
DenverSJP,Denver SJP
docP_,docP
ECCPBrussels,ECCP Brussels
fosnalive,Friends of Sabeel NA
FriendsofAlAqsa,Friends of Al Aqsa
GMUSAIA,GMU SAIA
HarvardPSC,Harvard PSC
IfNotNowOrg,If not now
intifada,Electronic Intifada
ipsc48,IPSC
ISMPalestine,ISM Palestine
JVPVC,JVP
LMUSJP,LMU SJP
LouisvilleSJP,LouisvilleSJP
Mondoweiss,Mondoweiss
MSA_Union,MSA Union
MSAnational,MSA National
NationalSJP,National SJP
NAUSJP,NAU SJP
NewIsraelFund,New Israel Fund
NYUSJP,NYU SJP
PACBI,PACBI
pal_legal,Palestine Legal
Palestine_MIT,Palestine@MIT
pchrgaza,PCHR
PFLP_ps,PFLP
pinkwatcher,Pinkwatching Israel
Pitt_SJP,Pitt SJP
PrincetonSJP,Princeton SJP
PSCABI_Gaza,PSCABI
PSCupdates,PSC
RESCOP1,RESCOP - BDS
ShovrimShtika,Shovrim Shtika
SJP_FAU,SJP @ FAU
sjp_gsu,SJP GSU
SJP_SAIC,SJP SAIC
sjp_uta,SJP at UTA
SJP_UTD,SJP UT Dallas
sjp_wc,SJP-WC
SJPatBC,SJP Boston College
SJPatBerkeley,Berkeley SJP
SJPatUCD,SJP - UC Davis
sjpcsuf,SJP at CSUF
SJPHouston,SJP Houston
SJPiit,SJP-IIT
SJPLAVC,SJP-LAVC
SJPNU,SJP Northwestern
SJPOSU,SJP OSU
SJSU_SJP,SJP at SJSU
SligoPalestine,Palestine Solidarity
StanfordSJP,Stanford SJP
stopthewall,Stop The Wall
SUPERatPSU,SUPER at PSU
uncsjp,UNC SJP
US_Campaign,Palestinian Rights
USACBI,USACBI
uwsuper,SUPER at UW
VTechSPJP,Virginia Tech SPJP
WarOnWant,War on Want
YASHebron,YouthAgainstSettlmnt
YeshDin,Yesh Din
jvplive,JewishVoiceForPeace
JVP_LA,JVP Los Angele
JVPDCMetro,JVP - DC Metro
ChicagoJVP,Chicago JVP
nyujvp,NYU JVP
JVPBoston,JVP Boston
JVPBayArea,JVP Bay Area
JVPPhilly,JVP Philly
jvpnewhaven,JVP-New Haven
JVPSeattle,JVP-Seattle
jvpatlanta,JVP Atlanta
jvpliveNY,JVP - New York City
